id,nombre,email,contrasena,rol,direccion,telefono,rango,unidad,organismo
CIV089,Nelson Ortega,nelson.ortega@outlook.com,NelsonOrtega123,Civil,Carrera 89 #890-900,3890000000,,,
CIV122,Manuela Gomez,manuela.gomez@hotmail.com,ManuelaGomez123,Civil,Calle 122 #1220-1230,4223333333,,,
CIV001,Luis Perez,luis.perez@gmail.com,LuisPerez123,Civil,Calle 1 #10-20,3011111111,,,
CIV088,Helena Rojas,helena.rojas@gmail.com,HelenaRojas123,Civil,Calle 88 #880-890,3889999999,,,
CIV121,Santiago Perez,santiago.perez@gmail.com,SantiagoPerez123,Civil,Avenida 121 #1210-1220,4212222222,,,
CIV003,Carlos Rodriguez,carlos.rodriguez@hotmail.com,CarlosRodriguez123,Civil,Avenida 3 #30-40,3033333333,,,
CIV124,Valeria Martinez,valeria.martinez@outlook.com,ValeriaMartinez123,Civil,Avenida 124 #1240-1250,4245555555,,,
CIV123,Nicolas Rodriguez,nicolas.rodriguez@gmail.com,NicolasRodriguez123,Civil,Carrera 123 #1230-1240,4234444444,,,
CIV002,Maria Gomez,maria.gomez@gmail.com,MariaGomez123,Civil,Carrera 2 #20-30,3022222222,,,
CIV005,Julio Casas,julio.casas@yahoo.com,JulioCasas123,Civil,Carrera 5 #50-60,3055555555,,,
CIV126,Daniela Ortiz,daniela.ortiz@gmail.com,DanielaOrtiz123,Civil,Carrera 126 #1260-1270,4267777777,,,
CIV004,Sofia Vallejo,sofia.vallejo@outlook.com,SofiaVallejo123,Civil,Calle 4 #40-50,3044444444,,,
CIV125,Andres Felipe,andres.felipe@yahoo.com,AndresFelipe123,Civil,Calle 125 #1250-1260,4256666666,,,
CIV007,Pedro Ramirez,pedro.ramirez@hotmail.com,PedroRamirez123,Civil,Calle 7 #70-80,3077777777,,,
CIV128,Gabriela Castro,gabriela.castro@gmail.com,GabrielaCastro123,Civil,Calle 128 #1280-1290,4289999999,,,
CIV006,Ana Martinez,ana.martinez@gmail.com,AnaMartinez123,Civil,Avenida 6 #60-70,3066666666,,,
CIV127,Esteban Diaz,esteban.diaz@hotmail.com,EstebanDiaz123,Civil,Avenida 127 #1270-1280,4278888888,,,
CIV009,Jorge Torres,jorge.torres@outlook.com,JorgeTorres123,Civil,Avenida 9 #90-100,3099999999,,,
CIV008,Laura Sanchez,laura.sanchez@gmail.com,LauraSanchez123,Civil,Carrera 8 #80-90,3088888888,,,
CIV129,Mateo Restrepo,mateo.restrepo@outlook.com,MateoRestrepo123,Civil,Carrera 129 #1290-1300,4290000000,,,
AUT010,Capitana Torres,torres@ejercito.mil.co,Torres123,Autoridad,,,Capitana,Base Militar Occidente,Ejército
CIV090,Fernando Aguirre,fernando.aguirre@yahoo.com,FernandoAguirre123,Civil,Avenida 90 #900-910,3901111111,,,
CIV092,Carlos Arturo,carlos.arturo@hotmail.com,CarlosArturo123,Civil,Carrera 92 #920-930,3923333333,,,
CIV091,Sandra Liliana,sandra.liliana@gmail.com,SandraLiliana123,Civil,Calle 91 #910-920,3912222222,,,
CIV094,Leonardo Cortez,leonardo.cortez@outlook.com,LeonardoCortez123,Civil,Calle 94 #940-950,3945555555,,,
CIV093,Teresa Gutierrez,teresa.gutierrez@gmail.com,TeresaGutierrez123,Civil,Avenida 93 #930-940,3934444444,,,
CIV096,Cesar Gomez,cesar.gomez@gmail.com,CesarGomez123,Civil,Avenida 96 #960-970,3967777777,,,
CIV095,Patricia Lozano,patricia.lozano@yahoo.com,PatriciaLozano123,Civil,Carrera 95 #950-960,3956666666,,,
CIV098,Diana Patricia,diana.patricia@gmail.com,DianaPatricia123,Civil,Carrera 98 #980-990,3989999999,,,
CIV131,Cristian David,cristian.david@gmail.com,CristianDavid123,Civil,Calle 131 #1310-1320,4312222222,,,
CIV010,Diana Rojas,diana.rojas@yahoo.com,DianaRojas123,Civil,Calle 10 #100-110,3101111111,,,
CIV097,Fabian Rojas,fabian.rojas@hotmail.com,FabianRojas123,Civil,Calle 97 #970-980,3978888888,,,
CIV130,Isabella Moreno,isabella.moreno@yahoo.com,IsabellaMoreno123,Civil,Avenida 130 #1300-1310,4301111111,,,
CIV012,Andrea Lozano,andrea.lozano@hotmail.com,AndreaLozano123,Civil,Avenida 12 #120-130,3123333333,,,
CIV133,Maria Fernanda,maria.fernanda@gmail.com,MariaFernanda123,Civil,Avenida 133 #1330-1340,4334444444,,,
CIV099,Javier Benitez,javier.benitez@outlook.com,JavierBenitez123,Civil,Avenida 99 #990-1000,3990000000,,,
CIV011,Felipe Castro,felipe.castro@gmail.com,FelipeCastro123,Civil,Carrera 11 #110-120,3112222222,,,
CIV132,Juan Manuel,juan.manuel@hotmail.com,JuanManuel123,Civil,Carrera 132 #1320-1330,4323333333,,,
CIV014,Paula Moreno,paula.moreno@outlook.com,PaulaMoreno123,Civil,Carrera 14 #140-150,3145555555,,,
CIV135,Ana Gabriela,ana.gabriela@yahoo.com,AnaGabriela123,Civil,Carrera 135 #1350-1360,4356666666,,,
CIV134,Juan Pablo,juan.pablo@outlook.com,JuanPablo123,Civil,Calle 134 #1340-1350,4345555555,,,
CIV013,Miguel Angel,miguel.angel@gmail.com,MiguelAngel123,Civil,Calle 13 #130-140,3134444444,,,
CIV137,Paula Camila,paula.camila@hotmail.com,PaulaCamila123,Civil,Calle 137 #1370-1380,4378888888,,,
15,l,l@gmail.com,IMBATMANx1.,Civil,esta,3207402505,,,
CIV016,Natalia Rueda,natalia.rueda@hotmail.com,NataliaRueda123,Civil,Calle 16 #160-170,3167777777,,,
5551,andrea perez,and@gmail.com,123456789Abc,Civil,calle 95c 35c 15 bro la enea,3187391005,,,
CIV136,Luis Miguel,luis.miguel@gmail.com,LuisMiguel123,Civil,Avenida 136 #1360-1370,4367777777,,,
CIV015,Cristian Mejia,cristian.mejia@yahoo.com,CristianMejia123,Civil,Avenida 15 #150-160,3156666666,,,
AUT009,Suboficial Pardo,pardo@policia.gov.co,Pardo123,Autoridad,,,Suboficial,Comisaria Sur,Policía Nacional
CIV139,Angela Maria,angela.maria@outlook.com,AngelaMaria123,Civil,Avenida 139 #1390-1400,4390000000,,,
CIV018,Juan Pablo Diaz,juan.diaz@gmail.com,JuanPabloDiaz123,Civil,Avenida 18 #180-190,3189999999,,,
AUT008,Teniente Diaz,diaz@ejercito.mil.co,Diaz123,Autoridad,,,Teniente,Base Militar Sur,Ejército
CIV017,Adriana Moreno,adriana.moreno@yahoo.com,AdrianaMoreno123,Civil,Carrera 17 #170-180,3178888888,,,
CIV138,Juan David,juan.david@gmail.com,JuanDavid123,Civil,Carrera 138 #1380-1390,4389999999,,,
AUT007,Analista Luna,luna@gestiondelriesgo.gov.co,Luna123,Autoridad,,,Analista,UNGRD Nacional,UNGRD
AUT006,Enfermera Romero,romero@cruzrojacolombiana.org,Romero123,Autoridad,,,Enfermera,Regional Occidente,Cruz Roja
CIV019,Natalia Rueda,natalia.rueda@hotmail.com,NataliaRueda123,Civil,Calle 19 #190-200,3190000000,,,
AUT005,Fiscal Castro,castro@fiscalia.gov.co,Castro123,Autoridad,,,Fiscal,Seccional Bogota,Fiscalía
AUT004,Doctora Gomez,gomez@defensacivil.gov.co,Gomez123,Autoridad,,,Coordinadora,Regional Centro,Defensa Civil
AUT003,Comandante Rojas,rojas@ejercito.mil.co,Rojas123,Autoridad,,,Comandante,Base Militar,Ejército
AUT002,Bombero Lopez,lopez@dnbc.gov.co,Lopez123,Autoridad,,,Teniente,Estacion Norte,Bomberos
AUT001,Oficial Perez,perez@policia.gov.co,Perez123,Autoridad,,,Capitan,Comisaria Centro,Policía Nacional
1086134346,juanpa,juanpablogomezerazo0@gmail.com,HOLAMUNDOx1.,Civil,calle 6 # 03-10 barrio cafetero,3187391005,,,
CIV140,Jose Manuel,jose.manuel@yahoo.com,JoseManuel123,Civil,Calle 140 #1400-1410,4401111111,,,
CIV142,Jose Antonio,jose.antonio@hotmail.com,JoseAntonio123,Civil,Avenida 142 #1420-1430,4423333333,,,
CIV021,Catalina Mesa,catalina.mesa@outlook.com,CatalinaMesa123,Civil,Avenida 21 #210-220,3212222222,,,
CIV141,Luisa Fernanda,luisa.fernanda@gmail.com,LuisaFernanda123,Civil,Carrera 141 #1410-1420,4412222222,,,
CIV020,Mauricio Lozano,mauricio.lozano@gmail.com,MauricioLozano123,Civil,Carrera 20 #200-210,3201111111,,,
CIV023,Juliana Ruiz,juliana.ruiz@yahoo.com,JulianaRuiz123,Civil,Carrera 23 #230-240,3234444444,,,
CIV144,Maria Isabel,maria.isabel@outlook.com,MariaIsabel123,Civil,Carrera 144 #1440-1450,4445555555,,,
CIV143,Juan Carlos,juan.carlos@gmail.com,JuanCarlos123,Civil,Calle 143 #1430-1440,4434444444,,,
CIV022,Felipe Gomez,felipe.gomez@gmail.com,FelipeGomez123,Civil,Calle 22 #220-230,3223333333,,,
CIV025,Pamela Reyes,pamela.reyes@hotmail.com,PamelaReyes123,Civil,Calle 25 #250-260,3256666666,,,
CIV146,Jose David,jose.david@gmail.com,JoseDavid123,Civil,Calle 146 #1460-1470,4467777777,,,
CIV024,Tomas Morales,tomas.morales@gmail.com,TomasMorales123,Civil,Avenida 24 #240-250,3245555555,,,
CIV145,Sara Valentina,sara.valentina@yahoo.com,SaraValentina123,Civil,Avenida 145 #1450-1460,4456666666,,,
CIV148,Julian Andres,julian.andres@gmail.com,JulianAndres123,Civil,Avenida 148 #1480-1490,4489999999,,,
CIV027,Laura Ramos,laura.ramos@outlook.com,LauraRamos123,Civil,Avenida 27 #270-280,3278888888,,,
CIV147,Laura Sofia,laura.sofia@hotmail.com,LauraSofia123,Civil,Carrera 147 #1470-1480,4478888888,,,
CIV026,Cristian Arias,cristian.arias@gmail.com,CristianArias123,Civil,Carrera 26 #260-270,3267777777,,,
CIV029,Diana Quintero,diana.quintero@yahoo.com,DianaQuintero123,Civil,Carrera 29 #290-300,3290000000,,,
CIV149,Natalia Andrea,natalia.andrea@outlook.com,NataliaAndrea123,Civil,Calle 149 #1490-1500,4490000000,,,
CIV028,Jose David Perez,jose.perez@gmail.com,JoseDavidPerez123,Civil,Calle 28 #280-290,3289999999,,,
BOM-03,Estación Maltería,estacion.malteria@bomberos.gov.co,Malteria2024,Autoridad,,,Teniente,Estación Maltería,Bomberos
BOM-01,Estación Central,estacion.central@bomberos.gov.co,Central2024,Autoridad,,,Comandante,Estación Central,Bomberos
BOM-02,Estación La Enea,estacion.enea@bomberos.gov.co,EneaB2024,Autoridad,,,Teniente,Estación La Enea,Bomberos
CIV030,Miguel Angel Torres,miguel.torres@gmail.com,MiguelAngelTorres123,Civil,Avenida 30 #300-310,3301111111,,,
CIV150,Andres Camilo,andres.camilo@yahoo.com,AndresCamilo123,Civil,Carrera 150 #1500-1510,4501111111,,,
CIV032,Hernan Alvarado,hernan.alvarado@gmail.com,HernanAlvarado123,Civil,Carrera 32 #320-330,3323333333,,,
CIV031,Karen Suarez,karen.suarez@hotmail.com,KarenSuarez123,Civil,Calle 31 #310-320,3312222222,,,
CIV034,Alberto Posada,alberto.posada@gmail.com,AlbertoPosada123,Civil,Calle 34 #340-350,3345555555,,,
CIV033,Liliana Cardona,liliana.cardona@outlook.com,LilianaCardona123,Civil,Avenida 33 #330-340,3334444444,,,
CIV036,Ricardo Arango,ricardo.arango@gmail.com,RicardoArango123,Civil,Avenida 36 #360-370,3367777777,,,
CIV035,Margarita Sosa,margarita.sosa@yahoo.com,MargaritaSosa123,Civil,Carrera 35 #350-360,3356666666,,,
CIV038,Eduardo Guerrero,eduardo.guerrero@gmail.com,EduardoGuerrero123,Civil,Carrera 38 #380-390,3389999999,,,
CIV037,Patricia Castro,patricia.castro@hotmail.com,PatriciaCastro123,Civil,Calle 37 #370-380,3378888888,,,
CIV039,Sandra Rojas,sandra.rojas@outlook.com,SandraRojas123,Civil,Avenida 39 #390-400,3390000000,,,
CIV041,Oscar Benitez,oscar.benitez@yahoo.com,OscarBenitez123,Civil,Carrera 41 #410-420,3412222222,,,
CIV040,Paula Linares,paula.linares@gmail.com,PaulaLinares123,Civil,Calle 40 #400-410,3401111111,,,
CIV043,Carlos Andres Gomez,carlos.gomez@hotmail.com,CarlosAndresGomez123,Civil,Calle 43 #430-440,3434444444,,,
CIV042,Luz Elena Fernandez,luz.fernandez@gmail.com,LuzElenaFernandez123,Civil,Avenida 42 #420-430,3423333333,,,
CIV045,Rodrigo Valencia,rodrigo.valencia@outlook.com,RodrigoValencia123,Civil,Avenida 45 #450-460,3456666666,,,
CIV044,Monica Bedoya,monica.bedoya@gmail.com,MonicaBedoya123,Civil,Carrera 44 #440-450,3445555555,,,
CIV047,Jhon Alex Rodriguez,jhon.rodriguez@yahoo.com,JhonAlexRodriguez123,Civil,Carrera 47 #470-480,3478888888,,,
